CHECKIN_DATE	WEIGHT_LBS
2019/01/07	198.9
2019/01/08	197.8
2019/01/09	197.7
2019/01/10	197.5
2019/01/11	197.8
2019/01/12	196.4
2019/01/13	196.9
2019/01/14	198.6
2019/01/15	197.1
2019/01/16	197.1
2019/01/17	196.0
2019/01/18	196.0
2019/01/19	194.9
2019/01/20	194.9
2019/01/21	196.4
2019/01/22	195.1
2019/01/23	194.9
2019/01/24	195.1
2019/01/25	195.1
2019/01/26	194.7
2019/01/27	194.7
2019/01/28	194.9
2019/01/29	194.0
2019/01/30	195.8
2019/01/31	194.9
2019/02/01	193.3
2019/02/02	193.8
2019/02/03	193.8
2019/02/04	194.9
2019/02/05	192.9
2019/02/06	194.4
